period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-05T14,38105.0,39329.0,39338.0,8.0
2020-01-05T15,38476.0,39381.0,39467.0,85.0
2020-01-05T16,38033.0,38577.0,38566.0,-12.0
2020-01-05T17,37341.0,37325.0,37110.0,-215.0
2020-01-05T18,36437.0,36290.0,36145.0,-145.0
2020-01-05T19,35850.0,35581.0,35421.0,-161.0
2020-01-05T20,35406.0,34955.0,34759.0,-196.0
2020-01-05T21,34925.0,34598.0,34383.0,-216.0
2020-01-05T22,34775.0,34505.0,34293.0,-213.0
2020-01-05T23,34675.0,34775.0,34772.0,-3.0
2020-01-06T00,35820.0,35999.0,36002.0,3.0
2020-01-06T01,37948.0,38023.0,38026.0,3.0
2020-01-06T02,38328.0,38076.0,38079.0,3.0
2020-01-06T03,38159.0,37737.0,37748.0,11.0
2020-01-06T04,37373.0,37231.0,37042.0,-189.0
2020-01-06T05,35983.0,35767.0,35781.0,14.0
2020-01-06T06,34310.0,34139.0,34158.0,19.0
2020-01-06T07,34146.0,33269.0,33283.0,14.0
2020-01-06T08,33633.0,32941.0,32955.0,13.0
2020-01-06T09,33694.0,33100.0,33103.0,3.0
2020-01-06T10,34191.0,33754.0,33761.0,7.0
2020-01-06T11,35506.0,35154.0,35162.0,7.0
2020-01-06T12,38262.0,37948.0,37956.0,7.0
2020-01-06T13,42050.0,41792.0,41823.0,31.0
2020-01-06T14,43869.0,43759.0,43788.0,29.0
2020-01-06T15,42817.0,43280.0,43292.0,11.0
2020-01-06T16,41644.0,41774.0,41913.0,139.0
2020-01-06T17,40754.0,40599.0,40832.0,233.0
2020-01-06T18,39665.0,39517.0,39712.0,195.0
2020-01-06T19,38748.0,38799.0,38942.0,143.0
2020-01-06T20,38137.0,38560.0,38560.0,0.0
2020-01-06T21,37488.0,38431.0,38428.0,-4.0
2020-01-06T22,37159.0,38449.0,38445.0,-4.0
2020-01-06T23,37276.0,38372.0,38368.0,-4.0
2020-01-07T00,38475.0,39196.0,39268.0,71.0
2020-01-07T01,40644.0,40836.0,40843.0,7.0
2020-01-07T02,40761.0,40603.0,40543.0,-60.0
2020-01-07T03,40469.0,39998.0,39791.0,-208.0
2020-01-07T04,39445.0,38842.0,38601.0,-243.0
2020-01-07T05,37589.0,36871.0,36607.0,-264.0
2020-01-07T06,35708.0,34954.0,34697.0,-258.0
