period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-07-21T07,45593.0,44959.0,45002.0,43.0
2020-07-21T08,43689.0,42970.0,43013.0,43.0
2020-07-21T09,42443.0,41666.0,41709.0,43.0
2020-07-21T10,41870.0,41092.0,41135.0,43.0
2020-07-21T11,42589.0,41663.0,41683.0,20.0
2020-07-21T12,43705.0,42825.0,42824.0,-1.0
2020-07-21T13,44882.0,43801.0,43825.0,24.0
2020-07-21T14,46675.0,45606.0,45608.0,2.0
2020-07-21T15,49436.0,47859.0,47990.0,130.0
2020-07-21T16,52482.0,50407.0,50541.0,134.0
2020-07-21T17,55790.0,53355.0,53489.0,134.0
2020-07-21T18,58708.0,56433.0,56539.0,106.0
2020-07-21T19,60764.0,59541.0,59329.0,-213.0
2020-07-21T20,62617.0,61892.0,61551.0,-341.0
2020-07-21T21,63716.0,63676.0,63126.0,-550.0
2020-07-21T22,64252.0,64847.0,64374.0,-474.0
2020-07-21T23,63625.0,64978.0,64915.0,-63.0
2020-07-22T00,62366.0,63896.0,63866.0,-30.0
2020-07-22T01,60091.0,61792.0,61649.0,-144.0
2020-07-22T02,58164.0,59502.0,59473.0,-30.0
2020-07-22T03,56648.0,57690.0,57678.0,-11.0
2020-07-22T04,53350.0,54246.0,54282.0,36.0
2020-07-22T05,49812.0,50465.0,50503.0,38.0
2020-07-22T06,46240.0,47284.0,47316.0,31.0
2020-07-22T07,43832.0,44804.0,44816.0,12.0
2020-07-22T08,41978.0,43014.0,43086.0,72.0
2020-07-22T09,40873.0,41848.0,41915.0,68.0
2020-07-22T10,40541.0,41556.0,41588.0,32.0
2020-07-22T11,41247.0,42197.0,42248.0,52.0
2020-07-22T12,42448.0,43380.0,43319.0,-61.0
2020-07-22T13,43723.0,44300.0,44266.0,-33.0
2020-07-22T14,45792.0,46465.0,46449.0,-15.0
2020-07-22T15,48552.0,49754.0,49884.0,130.0
2020-07-22T16,52010.0,53856.0,53990.0,134.0
2020-07-22T17,54975.0,57677.0,57734.0,58.0
2020-07-22T18,57827.0,60583.0,60096.0,-487.0
2020-07-22T19,60099.0,63032.0,62291.0,-741.0
2020-07-22T20,61995.0,65046.0,64344.0,-702.0
2020-07-22T21,63257.0,66435.0,65660.0,-775.0
2020-07-22T22,63916.0,66913.0,66220.0,-692.0
2020-07-22T23,63934.0,66674.0,66472.0,-201.0
2020-07-23T00,62568.0,65537.0,65436.0,-101.0
2020-07-23T01,60192.0,63296.0,63198.0,-98.0
2020-07-23T02,58513.0,61057.0,61015.0,-42.0
2020-07-23T03,56799.0,59075.0,58934.0,-141.0
2020-07-23T04,53717.0,55455.0,55386.0,-70.0
2020-07-23T05,50117.0,51570.0,51436.0,-134.0
2020-07-23T06,47633.0,48202.0,47590.0,-612.0
2020-07-23T07,45179.0,45573.0,44950.0,-623.0
2020-07-23T08,43294.0,43645.0,43108.0,-537.0
2020-07-23T09,42311.0,42317.0,41801.0,-515.0
2020-07-23T10,42012.0,41833.0,41334.0,-500.0
2020-07-23T11,42867.0,42418.0,41923.0,-495.0
2020-07-23T12,44230.0,43535.0,43328.0,-206.0
2020-07-23T13,45766.0,44689.0,44491.0,-198.0
2020-07-23T14,47656.0,47632.0,47435.0,-196.0
2020-07-23T15,50752.0,51577.0,51510.0,-68.0
2020-07-23T16,54145.0,55674.0,55603.0,-71.0
2020-07-23T17,57689.0,59812.0,59243.0,-569.0
2020-07-23T18,60747.0,63455.0,62774.0,-681.0
2020-07-23T19,63710.0,66517.0,65708.0,-809.0
2020-07-23T20,66266.0,68732.0,68013.0,-720.0
2020-07-23T21,67711.0,70170.0,69505.0,-665.0
2020-07-23T22,68627.0,70812.0,70156.0,-656.0
2020-07-23T23,68103.0,70524.0,69879.0,-645.0
2020-07-24T00,66643.0,69054.0,68413.0,-641.0
2020-07-24T01,64200.0,66533.0,65966.0,-567.0
2020-07-24T02,62200.0,63838.0,63198.0,-640.0
2020-07-24T03,60477.0,61582.0,60857.0,-726.0
2020-07-24T04,56780.0,57806.0,57317.0,-489.0
2020-07-24T05,52758.0,53847.0,53374.0,-473.0
2020-07-24T06,50087.0,50242.0,50227.0,-14.0
2020-07-24T07,47305.0,47436.0,47437.0,1.0
2020-07-24T08,45083.0,45288.0,45289.0,1.0
2020-07-24T09,43794.0,43655.0,43672.0,17.0
2020-07-24T10,43224.0,42878.0,42888.0,10.0
2020-07-24T11,43965.0,43127.0,43126.0,-2.0
2020-07-24T12,45023.0,43820.0,43700.0,-120.0
2020-07-24T13,46495.0,44801.0,44702.0,-99.0
2020-07-24T14,48900.0,47913.0,47816.0,-97.0
2020-07-24T15,52153.0,51846.0,51901.0,56.0
2020-07-24T16,55871.0,56069.0,56146.0,78.0
2020-07-24T17,59460.0,59968.0,59587.0,-381.0
2020-07-24T18,62345.0,63186.0,62813.0,-373.0
2020-07-24T19,65051.0,65816.0,65198.0,-618.0
2020-07-24T20,67200.0,67656.0,66930.0,-726.0
2020-07-24T21,68178.0,68678.0,67893.0,-784.0
2020-07-24T22,68763.0,68784.0,67995.0,-789.0
2020-07-24T23,68146.0,68143.0,67406.0,-737.0
2020-07-25T00,66136.0,66364.0,65648.0,-716.0
2020-07-25T01,63971.0,63713.0,63059.0,-653.0
2020-07-25T02,61730.0,61184.0,60569.0,-615.0
2020-07-25T03,60206.0,59326.0,58794.0,-532.0
2020-07-25T04,56508.0,56215.0,55811.0,-404.0
2020-07-25T05,52723.0,52848.0,52447.0,-401.0
2020-07-25T06,49003.0,49609.0,49597.0,-12.0
2020-07-25T07,46450.0,46947.0,46948.0,0.0
2020-07-25T08,44422.0,44726.0,44726.0,0.0
2020-07-25T09,42393.0,43069.0,43070.0,1.0
2020-07-25T10,42139.0,42064.0,42065.0,1.0
2020-07-25T11,41487.0,41787.0,41787.0,1.0
2020-07-25T12,40797.0,41845.0,41816.0,-29.0
2020-07-25T13,41388.0,42130.0,42057.0,-73.0
2020-07-25T14,44085.0,43891.0,43865.0,-25.0
2020-07-25T15,46996.0,46321.0,46321.0,0.0
2020-07-25T16,49799.0,48696.0,48696.0,0.0
2020-07-25T17,52825.0,51074.0,51073.0,0.0
2020-07-25T18,54878.0,53530.0,53530.0,0.0
2020-07-25T19,57141.0,55392.0,55385.0,-7.0
2020-07-25T20,58806.0,56310.0,55812.0,-498.0
2020-07-25T21,59791.0,56534.0,56217.0,-317.0
2020-07-25T22,60278.0,56704.0,56696.0,-8.0
2020-07-25T23,60522.0,56379.0,56378.0,-1.0
2020-07-26T00,59329.0,55177.0,55146.0,-31.0
2020-07-26T01,57452.0,53465.0,53466.0,0.0
2020-07-26T02,55774.0,51931.0,51932.0,1.0
2020-07-26T03,54845.0,50720.0,50721.0,1.0
2020-07-26T04,51994.0,48376.0,48377.0,1.0
2020-07-26T05,49050.0,45677.0,45678.0,1.0
2020-07-26T06,45580.0,43230.0,43231.0,1.0
2020-07-26T07,43483.0,41319.0,41320.0,1.0
2020-07-26T08,41796.0,39847.0,39848.0,1.0
2020-07-26T09,40458.0,38885.0,38886.0,1.0
2020-07-26T10,40115.0,38287.0,38288.0,1.0
2020-07-26T11,39516.0,38114.0,38114.0,0.0
2020-07-26T12,38875.0,38129.0,38057.0,-72.0
2020-07-26T13,39982.0,38215.0,38142.0,-73.0
2020-07-26T14,42308.0,39934.0,39885.0,-49.0
2020-07-26T15,44916.0,43153.0,43149.0,-4.0
2020-07-26T16,47260.0,46790.0,46791.0,0.0
2020-07-26T17,49742.0,49967.0,49967.0,0.0
2020-07-26T18,52103.0,52584.0,52584.0,0.0
2020-07-26T19,53862.0,54629.0,54616.0,-14.0
2020-07-26T20,56018.0,55898.0,55884.0,-14.0
2020-07-26T21,56959.0,56631.0,56617.0,-14.0
2020-07-26T22,57792.0,57007.0,57006.0,-1.0
2020-07-26T23,57629.0,57269.0,57174.0,-96.0
2020-07-27T00,56246.0,56579.0,56480.0,-99.0
2020-07-27T01,54694.0,55233.0,55174.0,-59.0
2020-07-27T02,53220.0,53646.0,53646.0,0.0
2020-07-27T03,52622.0,52446.0,52447.0,0.0
2020-07-27T04,49747.0,49563.0,49563.0,0.0
2020-07-27T05,47083.0,46103.0,46104.0,1.0
2020-07-27T06,44542.0,43184.0,43185.0,1.0
2020-07-27T07,42331.0,41020.0,41021.0,1.0
2020-07-27T08,40673.0,39587.0,39588.0,1.0
2020-07-27T09,40074.0,38768.0,38769.0,1.0
2020-07-27T10,39745.0,38753.0,38754.0,1.0
2020-07-27T11,41011.0,39672.0,39671.0,0.0
2020-07-27T12,42346.0,41179.0,41083.0,-96.0
2020-07-27T13,43963.0,42257.0,42158.0,-99.0
2020-07-27T14,45515.0,44024.0,43927.0,-97.0
2020-07-27T15,47788.0,46339.0,46370.0,31.0
2020-07-27T16,50534.0,49621.0,49657.0,35.0
2020-07-27T17,53642.0,53584.0,53620.0,35.0
2020-07-27T18,56210.0,57268.0,57295.0,26.0
2020-07-27T19,59010.0,60391.0,59711.0,-680.0
2020-07-27T20,60875.0,62845.0,62314.0,-531.0
2020-07-27T21,62083.0,64669.0,63858.0,-811.0
2020-07-27T22,62759.0,65091.0,64280.0,-811.0
2020-07-27T23,62343.0,64539.0,63944.0,-596.0
2020-07-28T00,60746.0,62813.0,62337.0,-476.0
2020-07-28T01,58464.0,60387.0,60036.0,-351.0
2020-07-28T02,57046.0,58368.0,58033.0,-335.0
2020-07-28T03,55945.0,56335.0,56273.0,-62.0
2020-07-28T04,52576.0,52818.0,52817.0,-1.0
2020-07-28T05,49174.0,49184.0,49184.0,0.0
2020-07-28T06,46053.0,45977.0,45977.0,0.0
2020-07-28T07,43665.0,43589.0,43589.0,0.0
2020-07-28T08,41738.0,41885.0,41885.0,0.0
2020-07-28T09,40754.0,40809.0,40809.0,0.0
2020-07-28T10,40446.0,40604.0,40604.0,0.0
2020-07-28T11,41129.0,41289.0,41289.0,0.0
2020-07-28T12,42513.0,42779.0,42779.0,0.0
2020-07-28T13,43688.0,43643.0,43644.0,1.0
2020-07-28T14,45668.0,45783.0,45785.0,2.0
2020-07-28T15,48510.0,48508.0,48639.0,131.0
2020-07-28T16,51602.0,51084.0,51219.0,135.0
2020-07-28T17,54561.0,52776.0,52911.0,135.0
2020-07-28T18,57417.0,54213.0,54346.0,133.0
2020-07-28T19,59903.0,55639.0,55607.0,-32.0
2020-07-28T20,61659.0,56482.0,55915.0,-567.0
2020-07-28T21,62785.0,56855.0,56278.0,-577.0
2020-07-28T22,63356.0,56972.0,56527.0,-444.0
2020-07-28T23,62951.0,56723.0,56874.0,151.0
2020-07-29T00,61438.0,55502.0,55626.0,124.0
2020-07-29T01,59453.0,53700.0,53879.0,178.0
2020-07-29T02,57778.0,52632.0,52737.0,106.0
2020-07-29T03,56097.0,51424.0,51526.0,102.0
2020-07-29T04,52747.0,48512.0,48519.0,7.0
2020-07-29T05,49432.0,45351.0,45354.0,3.0
2020-07-29T06,45300.0,42710.0,42712.0,2.0
2020-07-29T07,42777.0,40712.0,40715.0,2.0
2020-07-29T08,40933.0,39477.0,39479.0,3.0
2020-07-29T09,39988.0,38763.0,38765.0,2.0
2020-07-29T10,39963.0,38722.0,38725.0,2.0
2020-07-29T11,40740.0,39658.0,39661.0,3.0
2020-07-29T12,42196.0,41125.0,41128.0,2.0
2020-07-29T13,43543.0,42319.0,42321.0,2.0
2020-07-29T14,45658.0,44649.0,44653.0,4.0
2020-07-29T15,48594.0,47731.0,47846.0,115.0
2020-07-29T16,52077.0,51276.0,51397.0,121.0
2020-07-29T17,55301.0,54708.0,54872.0,163.0
2020-07-29T18,58458.0,56630.0,56720.0,90.0
2020-07-29T19,60828.0,57990.0,57975.0,-15.0
2020-07-29T20,62824.0,59250.0,59145.0,-105.0
2020-07-29T21,64046.0,59500.0,59334.0,-165.0
2020-07-29T22,64849.0,59283.0,59117.0,-166.0
2020-07-29T23,64815.0,59258.0,59130.0,-128.0
2020-07-30T00,63972.0,58484.0,58357.0,-126.0
2020-07-30T01,61581.0,56839.0,56742.0,-97.0
2020-07-30T02,59675.0,55527.0,55430.0,-97.0
2020-07-30T03,57674.0,54104.0,54068.0,-36.0
2020-07-30T04,54238.0,51263.0,51244.0,-19.0
2020-07-30T05,50752.0,47982.0,47981.0,-1.0
2020-07-30T06,46985.0,45282.0,45282.0,0.0
2020-07-30T07,44659.0,43303.0,43303.0,0.0
2020-07-30T08,42971.0,42016.0,42016.0,0.0
2020-07-30T09,41933.0,41310.0,41285.0,-25.0
2020-07-30T10,41660.0,41172.0,41172.0,0.0
2020-07-30T11,42299.0,41751.0,41751.0,0.0
2020-07-30T12,43630.0,42979.0,42931.0,-48.0
2020-07-30T13,44690.0,43840.0,43839.0,-2.0
2020-07-30T14,47092.0,46744.0,46745.0,1.0
2020-07-30T15,50406.0,50546.0,50676.0,130.0
2020-07-30T16,54299.0,54473.0,54567.0,94.0
2020-07-30T17,57606.0,58191.0,58147.0,-44.0
2020-07-30T18,61121.0,61748.0,61634.0,-113.0
2020-07-30T19,64117.0,64803.0,64239.0,-564.0
2020-07-30T20,66278.0,67199.0,66491.0,-708.0
2020-07-30T21,67769.0,68801.0,68135.0,-666.0
2020-07-30T22,68705.0,69633.0,68838.0,-796.0
2020-07-30T23,68478.0,69475.0,68640.0,-835.0
2020-07-31T00,66900.0,67930.0,67156.0,-773.0
2020-07-31T01,64544.0,65187.0,64513.0,-675.0
2020-07-31T02,62147.0,62345.0,61756.0,-589.0
2020-07-31T03,60018.0,59886.0,59378.0,-508.0
2020-07-31T04,56048.0,55625.0,55206.0,-419.0
2020-07-31T05,52322.0,51102.0,50685.0,-418.0
2020-07-31T06,49111.0,47507.0,46995.0,-513.0
2020-07-31T07,46755.0,44646.0,44130.0,-516.0
2020-07-31T08,44736.0,42633.0,42117.0,-516.0
2020-07-31T09,43600.0,41451.0,40934.0,-516.0
2020-07-31T10,43051.0,41014.0,40497.0,-516.0
2020-07-31T11,43863.0,41559.0,41048.0,-511.0
2020-07-31T12,45283.0,42643.0,42436.0,-206.0
2020-07-31T13,46584.0,43485.0,43287.0,-198.0
2020-07-31T14,48493.0,45972.0,45776.0,-196.0
2020-07-31T15,51174.0,48906.0,48889.0,-17.0
2020-07-31T16,54397.0,52181.0,52164.0,-18.0
2020-07-31T17,57426.0,55713.0,55530.0,-183.0
2020-07-31T18,60314.0,59098.0,58870.0,-228.0
2020-07-31T19,63160.0,62161.0,61288.0,-873.0
2020-07-31T20,65167.0,64299.0,63377.0,-922.0
2020-07-31T21,66607.0,65480.0,64515.0,-965.0
2020-07-31T22,67423.0,65619.0,64663.0,-956.0
2020-07-31T23,66724.0,64927.0,63969.0,-958.0
2020-08-01T00,65010.0,62997.0,62101.0,-896.0
2020-08-01T01,62501.0,60031.0,59196.0,-835.0
2020-08-01T02,60333.0,57231.0,56447.0,-784.0
2020-08-01T03,58567.0,54828.0,54068.0,-759.0
2020-08-01T04,54651.0,51366.0,51036.0,-329.0
2020-08-01T05,50984.0,47854.0,47542.0,-312.0
2020-08-01T06,46967.0,44575.0,44583.0,8.0
2020-08-01T07,44192.0,42035.0,42035.0,1.0
2020-08-01T08,42274.0,40126.0,40127.0,1.0
2020-08-01T09,40802.0,38463.0,38464.0,1.0
2020-08-01T10,39829.0,37324.0,37325.0,1.0
2020-08-01T11,39418.0,36792.0,36790.0,-2.0
2020-08-01T12,39268.0,36739.0,36547.0,-193.0
2020-08-01T13,39909.0,36991.0,36793.0,-198.0
2020-08-01T14,42231.0,39161.0,38963.0,-198.0
2020-08-01T15,45983.0,42254.0,42055.0,-199.0
2020-08-01T16,50064.0,45382.0,45088.0,-295.0
2020-08-01T17,53745.0,48688.0,48324.0,-364.0
2020-08-01T18,57387.0,51799.0,51439.0,-360.0
2020-08-01T19,60234.0,54622.0,53774.0,-847.0
2020-08-01T20,62614.0,57055.0,56135.0,-921.0
2020-08-01T21,63552.0,58405.0,57411.0,-994.0
2020-08-01T22,64278.0,59069.0,58073.0,-996.0
2020-08-01T23,64366.0,59163.0,58345.0,-819.0
2020-08-02T00,63220.0,58502.0,57872.0,-630.0
2020-08-02T01,60671.0,56490.0,55874.0,-617.0
2020-08-02T02,58691.0,54081.0,53534.0,-547.0
2020-08-02T03,56435.0,51936.0,51517.0,-419.0
2020-08-02T04,52994.0,48584.0,48281.0,-303.0
2020-08-02T05,49479.0,45357.0,44857.0,-500.0
2020-08-02T06,44028.0,42346.0,42415.0,69.0
2020-08-02T07,41627.0,39892.0,39973.0,81.0
2020-08-02T08,39622.0,37949.0,37951.0,1.0
2020-08-02T09,38292.0,36529.0,36530.0,1.0
2020-08-02T10,37583.0,35694.0,35694.0,1.0
2020-08-02T11,37138.0,35326.0,35323.0,-3.0
2020-08-02T12,37020.0,35155.0,35023.0,-132.0
2020-08-02T13,37360.0,35385.0,35267.0,-117.0
2020-08-02T14,39750.0,38330.0,38213.0,-117.0
2020-08-02T15,43510.0,42766.0,42568.0,-198.0
2020-08-02T16,48270.0,47714.0,47366.0,-348.0
2020-08-02T17,52658.0,52437.0,51942.0,-495.0
2020-08-02T18,56278.0,56418.0,55425.0,-993.0
2020-08-02T19,59124.0,59335.0,58306.0,-1029.0
2020-08-02T20,61935.0,61515.0,60440.0,-1075.0
2020-08-02T21,63583.0,62681.0,61595.0,-1086.0
2020-08-02T22,64439.0,63319.0,62224.0,-1095.0
2020-08-02T23,64797.0,62721.0,61739.0,-981.0
2020-08-03T00,63685.0,61355.0,60714.0,-641.0
2020-08-03T01,61244.0,58906.0,58391.0,-515.0
2020-08-03T02,58987.0,56299.0,55818.0,-481.0
2020-08-03T03,56467.0,53995.0,53273.0,-722.0
2020-08-03T04,52617.0,50213.0,49776.0,-437.0
2020-08-03T05,48580.0,46399.0,46049.0,-350.0
2020-08-03T06,44604.0,43037.0,43027.0,-10.0
2020-08-03T07,41864.0,40487.0,40487.0,1.0
2020-08-03T08,40123.0,38626.0,38626.0,1.0
2020-08-03T09,39185.0,37588.0,37588.0,1.0
2020-08-03T10,38957.0,37417.0,37417.0,1.0
2020-08-03T11,39781.0,38171.0,38169.0,-2.0
2020-08-03T12,41452.0,39674.0,39515.0,-160.0
2020-08-03T13,42428.0,40872.0,40700.0,-173.0
2020-08-03T14,44651.0,43760.0,43598.0,-162.0
2020-08-03T15,48163.0,47419.0,47336.0,-83.0
2020-08-03T16,52047.0,51669.0,51502.0,-168.0
2020-08-03T17,56237.0,55910.0,55646.0,-265.0
2020-08-03T18,59401.0,59776.0,58995.0,-781.0
2020-08-03T19,62631.0,63122.0,62345.0,-777.0
2020-08-03T20,64845.0,65711.0,64850.0,-862.0
2020-08-03T21,66520.0,67271.0,66409.0,-862.0
2020-08-03T22,67317.0,67523.0,66560.0,-964.0
2020-08-03T23,67210.0,66295.0,65329.0,-966.0
2020-08-04T00,65034.0,63652.0,62695.0,-956.0
2020-08-04T01,62026.0,60568.0,59682.0,-886.0
2020-08-04T02,60256.0,58310.0,57436.0,-874.0
2020-08-04T03,57647.0,56071.0,55268.0,-802.0
2020-08-04T04,53183.0,52187.0,51666.0,-521.0
2020-08-04T05,49090.0,48123.0,47616.0,-507.0
2020-08-04T06,46320.0,44726.0,44728.0,2.0
2020-08-04T07,43518.0,42224.0,42115.0,-109.0
2020-08-04T08,41790.0,40539.0,40199.0,-340.0
2020-08-04T09,40493.0,39512.0,39378.0,-134.0
2020-08-04T10,40295.0,39239.0,39227.0,-11.0
2020-08-04T11,40879.0,39982.0,40020.0,38.0
2020-08-04T12,42430.0,41355.0,41294.0,-61.0
2020-08-04T13,43248.0,41999.0,41925.0,-74.0
2020-08-04T14,45369.0,43945.0,43847.0,-98.0
2020-08-04T15,48612.0,47156.0,47184.0,28.0
2020-08-04T16,52889.0,51157.0,51095.0,-62.0
2020-08-04T17,57128.0,55356.0,55193.0,-162.0
2020-08-04T18,60628.0,59390.0,59148.0,-242.0
2020-08-04T19,64279.0,62942.0,62091.0,-851.0
2020-08-04T20,66797.0,65773.0,64915.0,-858.0
2020-08-04T21,68923.0,67593.0,66705.0,-888.0
2020-08-04T22,69575.0,68495.0,67594.0,-902.0
2020-08-04T23,69549.0,68188.0,67266.0,-922.0
2020-08-05T00,67791.0,66480.0,65623.0,-857.0
2020-08-05T01,64861.0,63673.0,62875.0,-797.0
2020-08-05T02,62908.0,60985.0,60214.0,-771.0
2020-08-05T03,60262.0,58348.0,58091.0,-257.0
2020-08-05T04,55571.0,54285.0,54302.0,17.0
2020-08-05T05,51537.0,50214.0,50255.0,41.0
2020-08-05T06,46980.0,46845.0,46845.0,1.0
2020-08-05T07,44420.0,44228.0,44228.0,1.0
2020-08-05T08,42060.0,42288.0,42284.0,-4.0
2020-08-05T09,40876.0,41060.0,40585.0,-475.0
2020-08-05T10,40737.0,40609.0,40030.0,-579.0
2020-08-05T11,41339.0,41237.0,41076.0,-162.0
2020-08-05T12,42807.0,42441.0,42250.0,-191.0
2020-08-05T13,43793.0,43371.0,43318.0,-53.0
2020-08-05T14,45586.0,45769.0,45741.0,-28.0
2020-08-05T15,49080.0,49095.0,49201.0,106.0
2020-08-05T16,53519.0,52528.0,52662.0,134.0
2020-08-05T17,57451.0,56202.0,56160.0,-42.0
2020-08-05T18,61224.0,59564.0,59460.0,-104.0
2020-08-05T19,64648.0,62453.0,62018.0,-435.0
2020-08-05T20,67546.0,64828.0,64520.0,-308.0
2020-08-05T21,69091.0,66092.0,65680.0,-412.0
2020-08-05T22,69486.0,66703.0,66198.0,-505.0
2020-08-05T23,69375.0,66413.0,65908.0,-505.0
2020-08-06T00,67327.0,65335.0,65145.0,-190.0
2020-08-06T01,64776.0,63039.0,62889.0,-150.0
2020-08-06T02,62656.0,60702.0,60561.0,-141.0
2020-08-06T03,59919.0,58435.0,58279.0,-156.0
2020-08-06T04,55870.0,54691.0,54703.0,11.0
2020-08-06T05,51691.0,50676.0,50720.0,44.0
2020-08-06T06,47759.0,47351.0,46906.0,-445.0
2020-08-06T07,45121.0,44822.0,44363.0,-459.0
2020-08-06T08,42971.0,42884.0,42420.0,-464.0
2020-08-06T09,41814.0,41711.0,41247.0,-464.0
2020-08-06T10,41736.0,41392.0,40894.0,-498.0
2020-08-06T11,42231.0,42090.0,41709.0,-381.0
2020-08-06T12,43920.0,43500.0,43109.0,-391.0
2020-08-06T13,44665.0,44352.0,44344.0,-9.0
2020-08-06T14,46673.0,46796.0,46800.0,4.0
2020-08-06T15,50214.0,50351.0,50581.0,230.0
2020-08-06T16,54622.0,54370.0,54526.0,156.0
2020-08-06T17,58603.0,58610.0,58647.0,37.0
2020-08-06T18,62616.0,62553.0,62659.0,106.0
2020-08-06T19,66084.0,65787.0,65845.0,58.0
2020-08-06T20,68915.0,68431.0,68545.0,114.0
2020-08-06T21,70411.0,69650.0,69788.0,134.0
2020-08-06T22,70745.0,70057.0,69964.0,-93.0
2020-08-06T23,70564.0,69703.0,69548.0,-155.0
2020-08-07T00,68400.0,68512.0,68328.0,-184.0
2020-08-07T01,66141.0,65912.0,65721.0,-191.0
2020-08-07T02,63843.0,63396.0,63477.0,81.0
2020-08-07T03,61111.0,61236.0,60916.0,-321.0
2020-08-07T04,57024.0,57232.0,57027.0,-204.0
2020-08-07T05,52896.0,53238.0,52925.0,-313.0
2020-08-07T06,48970.0,49865.0,49647.0,-218.0
2020-08-07T07,46169.0,47195.0,46979.0,-216.0
2020-08-07T08,43968.0,45409.0,45103.0,-307.0
2020-08-07T09,42666.0,44132.0,43902.0,-229.0
2020-08-07T10,42398.0,43515.0,43297.0,-217.0
2020-08-07T11,42890.0,43949.0,43713.0,-237.0
2020-08-07T12,44281.0,44871.0,44607.0,-264.0
2020-08-07T13,45208.0,45562.0,45554.0,-8.0
2020-08-07T14,47477.0,48404.0,48405.0,1.0
2020-08-07T15,51009.0,52301.0,52431.0,131.0
2020-08-07T16,55269.0,56509.0,56644.0,135.0
2020-08-07T17,58972.0,60478.0,60528.0,50.0
2020-08-07T18,62617.0,63917.0,64005.0,88.0
2020-08-07T19,65900.0,66799.0,66716.0,-82.0
2020-08-07T20,68512.0,68990.0,68816.0,-174.0
2020-08-07T21,69718.0,70050.0,69718.0,-333.0
2020-08-07T22,69916.0,70160.0,69614.0,-545.0
2020-08-07T23,69622.0,69720.0,69441.0,-278.0
2020-08-08T00,67374.0,68196.0,67952.0,-244.0
2020-08-08T01,64605.0,65425.0,65245.0,-181.0
2020-08-08T02,62371.0,62956.0,62587.0,-369.0
2020-08-08T03,59835.0,60619.0,60266.0,-353.0
2020-08-08T04,56339.0,57094.0,56873.0,-221.0
2020-08-08T05,52669.0,53450.0,53233.0,-218.0
2020-08-08T06,49841.0,49997.0,49813.0,-183.0
2020-08-08T07,46888.0,46988.0,46806.0,-182.0
2020-08-08T08,44656.0,44754.0,44551.0,-203.0
2020-08-08T09,43156.0,42970.0,42759.0,-211.0
2020-08-08T10,42117.0,41977.0,41803.0,-174.0
2020-08-08T11,41650.0,41654.0,41478.0,-176.0
2020-08-08T12,41559.0,41680.0,41537.0,-143.0
2020-08-08T13,42009.0,42019.0,41821.0,-198.0
2020-08-08T14,44804.0,45099.0,45094.0,-5.0
2020-08-08T15,48710.0,49493.0,49493.0,1.0
2020-08-08T16,53136.0,53819.0,53820.0,1.0
2020-08-08T17,56939.0,57804.0,57679.0,-125.0
2020-08-08T18,60568.0,61122.0,61003.0,-120.0
2020-08-08T19,63280.0,63700.0,63549.0,-151.0
2020-08-08T20,65686.0,65475.0,65081.0,-394.0
2020-08-08T21,66794.0,66695.0,66331.0,-365.0
2020-08-08T22,67157.0,67620.0,67261.0,-359.0
2020-08-08T23,67107.0,67798.0,67648.0,-150.0
2020-08-09T00,65996.0,66659.0,66421.0,-237.0
2020-08-09T01,63481.0,64125.0,63998.0,-127.0
2020-08-09T02,61342.0,61664.0,61426.0,-238.0
2020-08-09T03,59219.0,59480.0,59282.0,-198.0
2020-08-09T04,55799.0,56083.0,55885.0,-198.0
2020-08-09T05,52354.0,52631.0,52432.0,-199.0
2020-08-09T06,49097.0,49434.0,49217.0,-217.0
2020-08-09T07,46520.0,46756.0,46538.0,-218.0
2020-08-09T08,44557.0,44727.0,44509.0,-218.0
2020-08-09T09,43129.0,43125.0,42907.0,-218.0
2020-08-09T10,42263.0,42006.0,41788.0,-218.0
2020-08-09T11,41793.0,41505.0,41287.0,-218.0
2020-08-09T12,41678.0,41158.0,40940.0,-218.0
2020-08-09T13,41728.0,41185.0,40970.0,-215.0
2020-08-09T14,44261.0,44065.0,44059.0,-5.0
2020-08-09T15,48210.0,48674.0,48674.0,0.0
2020-08-09T16,52476.0,53238.0,53239.0,0.0
2020-08-09T17,56198.0,57510.0,57302.0,-208.0
2020-08-09T18,59433.0,61190.0,60982.0,-208.0
2020-08-09T19,62678.0,64040.0,63858.0,-183.0
2020-08-09T20,65295.0,66028.0,65835.0,-194.0
2020-08-09T21,66770.0,67338.0,66930.0,-408.0
2020-08-09T22,67451.0,68091.0,67686.0,-405.0
2020-08-09T23,67556.0,67997.0,67597.0,-399.0
2020-08-10T00,66275.0,66647.0,66481.0,-166.0
2020-08-10T01,64019.0,64424.0,64297.0,-128.0
2020-08-10T02,62083.0,62275.0,62167.0,-108.0
2020-08-10T03,59823.0,60281.0,60066.0,-215.0
2020-08-10T04,55878.0,56773.0,56555.0,-218.0
2020-08-10T05,52067.0,52910.0,52692.0,-218.0
2020-08-10T06,49630.0,49503.0,49285.0,-218.0
2020-08-10T07,46899.0,46936.0,46717.0,-219.0
2020-08-10T08,45031.0,44978.0,44529.0,-450.0
2020-08-10T09,43878.0,43874.0,43390.0,-485.0
2020-08-10T10,43545.0,43683.0,43222.0,-461.0
2020-08-10T11,44407.0,44472.0,44301.0,-171.0
2020-08-10T12,45906.0,45844.0,45434.0,-410.0
